CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2
100725706.0,13.24016,13.2404,0.0001414213562369799,0.1483,0.1481,0.00017078251276599345,22.36,22.37,0.017078251276599225,0.92,0.93,0.014142135623730918,2.760391226296406
101086161.0,6.21238,6.2127,0.00017078251276598534,0.0892,0.089,0.00017078251276599277,11.93,11.95,0.014142135623730649,0.82,0.83,0.0170782512765993,1.856008672081128
101368192.0,4.25667,4.2565,0.000170782512765942,0.0661,0.0659,0.00016211413181933535,8.23,8.21,0.01414213562373065,0.48,0.51,0.006555547773570895,23.605267430865254
102671819.0,2.828042,2.8283,0.00017078251276600697,0.1309,0.1307,0.00015779733838059434,7.81,7.82,0.014142135623731025,0.63,0.66,0.004898979485566361,12.04464325767413
102764809.0,4.037928,4.0382,0.00017078251276598534,0.1116,0.1114,0.00016006197146962593,9.13,9.14,0.014142135623731403,0.74,0.77,0.0049792959773196956,13.264745210883806
102890318.0,1.508956,1.5092,0.0001414213562373881,0.141,0.1408,0.00017078251276599342,4.62,4.63,0.0141421356237309,0.51,0.54,0.0,30.249259313221614
102912369.0,9.201536,9.2014,0.00014142135623748236,0.1021,0.1019,0.00014142135623730962,17.03,17.06,0.01707825127659871,0.01,0.03,0.007071067811865475,64.94939926216584
105209106.0,4.204644,4.2049,0.00017078251276602866,0.0771,0.0769,0.00011180339887499267,6.2,6.2,0.014142135623730899,0.0,0.02,0.004714045207910317,81.8095572390921
105793995.0,4.860616,4.8609,0.00017078251276594198,0.1599,0.1597,0.00017078251276599345,9.66,9.68,0.014142135623730649,1.04,1.05,0.011180339887498959,7.523467983236102
105819653.0,9.756373,9.7566,0.00014142135623773354,0.0468,0.0466,8.16496580927721e-05,13.06,13.08,0.014142135623731152,0.66,0.69,1.1102230246251565e-16,56.962974091045815
105833549.0,2.994279,2.9946,0.000170782512766007,0.1039,0.1037,0.00017078251276599212,6.71,6.72,0.0141421356237309,0.83,0.86,0.014142135623730963,1.1566231856879043
105891283.0,95.270554,95.2709,0.0001707825127661153,0.1282,0.128,4.999999999999449e-05,97.61,97.61,0.014142135623730148,0.0,0.02,0.004714045207910317,230.89669681245846
106017681.0,8.886623,8.8868,0.0001414213562369799,0.1122,0.112,0.00017078251276599277,18.61,18.62,0.017078251276599225,0.0,0.02,0.004714045207910317,31.15471456544524
110839339.0,4.035144,4.0354,0.000170782512765942,0.0941,0.0939,0.0001707825127659928,9.21,9.22,0.014142135623731402,0.64,0.67,0.008164965809277268,7.134898555920616
315198039.0,3.896914,3.8972,0.00017078251276605034,0.0758,0.0756,5.000000000000143e-05,6.92,6.92,0.014142135623730899,0.0,0.02,0.004714045207910317,185.94083892544336
315211361.0,1.900078,1.9003,0.00014142135623735673,0.1383,0.1381,0.0001118033988749896,6.34,6.36,0.0141421356237309,0.44,0.46,5.551115123125783e-17,78.49434499594174
315239728.0,9.243751,9.244,0.0001414213562369799,0.0801,0.0799,5.000000000000143e-05,35.22,35.23,0.017078251276598705,0.0,0.02,0.004714045207910317,147.23168204439256
652180991.0,5.208129,5.2084,0.000170782512765942,0.0585,0.0583,0.00011180339887499036,5.65,5.66,0.014142135623731027,0.67,0.7,1.1102230246251565e-16,57.66160698651684
