CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2,filter_technique,filter_order,filter_cutoff,filter_numNei
100725706.0,13.24016,13.24,0.014142135623730649,0.1483,0.13,2.7755575615628914e-17,22.36,22.37,0.01707825127659923,0.92,0.95,2.220446049250313e-16,27.502767823438447,bessel,n1,f01,
101086161.0,6.21238,6.19,0.014142135623730899,0.0892,0.07,0.0,11.93,11.91,0.014142135623730649,0.82,0.85,0.0050000000000000044,9.705891841280938,bessel,n1,f01,
101368192.0,4.25667,4.24,0.0141421356237309,0.0661,0.05,0.0,8.23,8.21,0.014142135623730649,0.48,0.51,0.014142135623730963,14.296587102171651,bessel,n1,f01,
102671819.0,2.828042,2.85,0.014142135623730965,0.1309,0.11,0.0,7.81,7.82,0.014142135623731025,0.63,0.66,0.01118033988749896,5.890186462052914,bessel,n1,f01,
102764809.0,4.037928,4.06,0.014142135623730899,0.1116,0.09,0.0,9.13,9.13,0.014142135623731403,0.74,0.77,0.0,73.98280347329494,bessel,n1,f01,
102890318.0,1.508956,1.49,0.017078251276599347,0.141,0.12,2.7755575615628914e-17,4.62,4.6,0.014142135623730899,0.51,0.54,2.220446049250313e-16,121.49083897340101,bessel,n1,f01,
102912369.0,9.201536,9.19,0.014142135623731402,0.1021,0.08,0.0,17.03,17.06,0.017078251276598705,0.01,0.03,0.007071067811865475,488.7710000213209,bessel,n1,f01,
105209106.0,4.204644,4.22,0.0141421356237309,0.0771,0.06,6.938893903907228e-18,6.2,6.22,0.0141421356237309,0.0,0.02,0.0047140452079103175,19.766073842186998,bessel,n1,f01,
105793995.0,4.860616,4.87,0.014142135623731027,0.1599,0.14,0.0043301270189221855,9.66,9.64,0.014142135623730649,1.04,1.07,0.008291561975888507,0.8310517738161219,bessel,n1,f01,
105819653.0,9.756373,9.74,0.014142135623730649,0.0468,0.03,3.469446951953614e-18,13.06,13.04,0.014142135623731152,0.66,0.69,0.01707825127659932,0.7311101570577546,bessel,n1,f01,
