CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2,filter_technique,filter_order,filter_cutoff,filter_numNei
100725706.0,13.24016,13.24,0.0063446220206621025,0.1483,0.13,1.2452053984800993e-17,22.36,22.37,0.007661859001132138,0.92,0.95,9.961643187840795e-17,13.890688048592452,bessel,n1,f01,
101086161.0,6.21238,6.19,0.003881791002365456,0.0892,0.07,3.8092317368753475e-18,11.93,11.91,0.003881791002365387,0.82,0.85,0.0022411530801535726,6.263438102723722,bessel,n1,f01,
101368192.0,4.25667,4.24,0.0027152374185085123,0.0661,0.05,2.6644836214601443e-18,8.23,8.21,0.0027152374185084637,0.48,0.51,0.003278960698913153,9.234387057757777,bessel,n1,f01,
102671819.0,2.828042,2.85,0.0029808261613074754,0.1309,0.11,2.9251079228226052e-18,7.81,7.82,0.0029808261613074884,0.63,0.66,0.002980826161307475,4.649663323340677,bessel,n1,f01,
102764809.0,4.037928,4.06,0.00702894454283282,0.1116,0.09,0.0,9.13,9.13,0.007028944542833071,0.74,0.77,0.0,44.814144497925184,bessel,n1,f01,
102890318.0,1.508956,1.49,0.007661859001132191,0.141,0.12,1.2452053984800993e-17,4.62,4.6,0.006344622020662214,0.51,0.54,9.961643187840795e-17,88.9341168459632,bessel,n1,f01,
102912369.0,9.201536,9.19,0.00304393848584934,0.1021,0.08,0.0,17.03,17.06,0.003675904949222099,0.01,0.03,0.0015219692429246214,257.7394500781567,bessel,n1,f01,
105209106.0,4.204644,4.22,0.003881791002365456,0.0771,0.06,1.9046158684376738e-18,6.2,6.22,0.003881791002365456,0.0,0.02,0.0012939303341218233,14.087908240124644,bessel,n1,f01,
105793995.0,4.860616,4.87,0.0027152374185085365,0.1599,0.14,0.001431055771767125,9.66,9.64,0.0027152374185084637,1.04,1.07,0.0014310557717671277,0.5639678459703334,bessel,n1,f01,
105819653.0,9.756373,9.74,0.002345137082249025,0.0468,0.03,0.0007180486535486975,13.06,13.04,0.0023451370822491083,0.66,0.69,0.002872194614194787,0.4595134776741218,bessel,n1,f01,
105833549.0,2.994279,2.97,0.0070289445428327905,0.1039,0.08,0.0,6.71,6.69,0.007028944542832821,0.83,0.86,0.0,11.958545328465341,bessel,n1,f01,
105891283.0,95.270554,95.29,0.0038817910023658,0.1282,0.11,7.618463473750695e-18,97.61,97.63,0.003881791002365249,0.0,0.02,0.0012939303341218233,284.8888375509545,bessel,n1,f01,
106017681.0,8.886623,8.91,0.0035307475734284903,0.1122,0.09,3.46475008659752e-18,18.61,18.62,0.004263782773520447,0.0,0.02,0.00117691585780948,13.221042906392658,bessel,n1,f01,
110839339.0,4.035144,4.02,0.0027152374185085123,0.0941,0.07,2.6644836214601443e-18,9.21,9.19,0.0027152374185086085,0.64,0.67,0.0032789606989131552,2.3923509340924523,bessel,n1,f01,
315198039.0,3.896914,3.92,0.0038817910023654727,0.0758,0.06,1.9046158684376738e-18,6.92,6.94,0.003881791002365455,0.0,0.02,0.0012939303341218233,389.0462242081672,bessel,n1,f01,
315211361.0,1.900078,1.88,0.007661859001132191,0.1383,0.12,1.2452053984800993e-17,6.34,6.32,0.006344622020662214,0.44,0.46,7.471232390880596e-17,91.62330098858061,bessel,n1,f01,
315239728.0,9.243751,9.26,0.003530747573428365,0.0801,0.06,1.73237504329876e-18,35.22,35.25,0.004263782773520318,0.0,0.02,0.00117691585780948,237.21989032089107,bessel,n1,f01,
652180991.0,5.208129,5.19,0.0027152374185085123,0.0585,0.04,0.0,5.65,5.63,0.0027152374185085365,0.67,0.7,0.0032789606989131474,3.1180695523971655,bessel,n1,f01,
100725706.0,13.24016,13.24,0.0063446220206621025,0.1483,0.13,1.2452053984800993e-17,22.36,22.37,0.007661859001132138,0.92,0.95,9.961643187840795e-17,5.933522194972064,bessel,n1,f02,
101086161.0,6.21238,6.19,0.002980826161307462,0.0892,0.07,8.775323768467815e-18,11.93,11.91,0.0029808261613074086,0.82,0.85,0.002980826161307468,4.029427514563336,bessel,n1,f02,
101368192.0,4.25667,4.24,0.0027152374185085123,0.0661,0.05,2.6644836214601443e-18,8.23,8.21,0.0027152374185084637,0.48,0.51,0.003278960698913153,7.272190594356953,bessel,n1,f02,
102671819.0,2.828042,2.85,0.002715237418508524,0.1309,0.11,5.3289672429202886e-18,7.81,7.82,0.002715237418508536,0.63,0.66,0.0032789606989131557,2.4334430188661744,bessel,n1,f02,
102764809.0,4.037928,4.06,0.004806543835870319,0.1116,0.09,4.716698893145624e-18,9.13,9.13,0.00480654383587049,0.74,0.77,0.0016993698702071588,23.98688940276018,bessel,n1,f02,
102890318.0,1.508956,1.49,0.007661859001132191,0.141,0.12,1.2452053984800993e-17,4.62,4.6,0.006344622020662214,0.51,0.54,9.961643187840795e-17,65.31086239211659,bessel,n1,f02,
102912369.0,9.201536,9.19,0.00304393848584934,0.1021,0.08,0.0,17.03,17.06,0.003675904949222099,0.01,0.03,0.0015219692429246214,241.31456765647846,bessel,n1,f02,
105209106.0,4.204644,4.22,0.003881791002365456,0.0771,0.06,1.9046158684376738e-18,6.2,6.22,0.003881791002365456,0.0,0.02,0.0012939303341218233,11.925477877298913,bessel,n1,f02,
105793995.0,4.860616,4.84,0.001995545146431507,0.1599,0.14,0.0014052205670425867,9.66,9.65,0.0019955451464314542,1.04,1.06,0.0018141319513013624,0.7270938661365941,bessel,n1,f02,
105819653.0,9.756373,9.74,0.0019096564341013478,0.0468,0.03,0.0006751655071448066,13.06,13.04,0.0019096564341014156,0.66,0.69,0.0023061292368623237,0.5109687129254068,bessel,n1,f02,
105833549.0,2.994279,2.97,0.0033435082632604475,0.1039,0.08,3.281010693557598e-18,6.71,6.69,0.0033435082632604627,0.83,0.86,0.0026432753718742454,4.642568626430697,bessel,n1,f02,
105891283.0,95.270554,95.29,0.0038817910023658,0.1282,0.11,7.618463473750695e-18,97.61,97.63,0.003881791002365249,0.0,0.02,0.0012939303341218233,231.92224169209493,bessel,n1,f02,
106017681.0,8.886623,8.91,0.0035307475734284903,0.1122,0.09,3.46475008659752e-18,18.61,18.62,0.004263782773520447,0.0,0.02,0.00117691585780948,10.403321493975655,bessel,n1,f02,
