CoRoT_ID,period_deleuil,period,e_period,p_deleuil,p,e_p,adivR_deleuil,adivR,e_adivR,b_deleuil,b,e_b,chi2
100725706.0,13.24016,13.24,0.014142135623730649,0.1483,0.13,0.007284313590846834,22.36,22.35,0.017078251276599225,0.92,0.91,0.015907898179514324,4.472394285356532
101086161.0,6.21238,6.21,0.014142135623730904,0.0892,0.07,0.0034992710611188244,11.93,11.92,0.014142135623730649,0.82,0.83,0.018070158058105,4.713943437818283
101368192.0,4.25667,4.24,0.0141421356237309,0.0661,0.05,1.3877787807814457e-17,8.23,8.21,0.014142135623730649,0.48,0.51,0.017078251276599333,9.299098586626162
102671819.0,2.828042,2.85,0.014142135623730963,0.1309,0.12,0.006666666666666668,7.81,7.81,0.014142135623731027,0.63,0.66,0.013333333333333345,3.162269027651904
102764809.0,4.037928,4.02,0.014142135623730899,0.1116,0.11,0.0,9.13,9.11,0.014142135623731403,0.74,0.77,0.0,19.151688220509612
102890318.0,1.508956,1.54,0.017078251276599347,0.141,0.13,2.7755575615628914e-17,4.62,4.63,0.014142135623730899,0.51,0.54,2.220446049250313e-16,74.09149116724062
102912369.0,9.201536,9.19,0.014142135623731402,0.1021,0.08,0.0,17.03,17.06,0.017078251276598705,0.01,0.03,0.007071067811865475,349.11839750708026
105209106.0,4.204644,4.22,0.0141421356237309,0.0771,0.06,6.938893903907228e-18,6.2,6.22,0.0141421356237309,0.0,0.02,0.0047140452079103175,12.220597052802129
105793995.0,4.860616,4.84,0.014142135623731027,0.1599,0.14,0.013333333333333332,9.66,9.64,0.014142135623730649,1.04,1.02,0.015000000000000012,1.2793248181912544
105819653.0,9.756373,9.76,0.014142135623730649,0.0468,0.04,0.005000000000000001,13.06,13.07,0.01414213562373115,0.66,0.69,0.01707825127659932,0.9303725685175166
105833549.0,2.994279,3.01,0.014142135623730838,0.1039,0.1,2.7755575615628914e-17,6.71,6.73,0.0141421356237309,0.83,0.86,0.008164965809277266,2.3498466957124524
105891283.0,95.270554,95.29,0.014142135623732156,0.1282,0.11,2.7755575615628914e-17,97.61,97.63,0.014142135623730148,0.0,0.02,0.0047140452079103175,396.49103535505344
106017681.0,8.886623,8.91,0.01414213562373115,0.1122,0.09,1.3877787807814457e-17,18.61,18.62,0.017078251276599225,0.0,0.02,0.004714045207910317,17.819653088837995
110839339.0,4.035144,4.02,0.0141421356237309,0.0941,0.07,0.004714045207910314,9.21,9.19,0.014142135623731403,0.64,0.67,0.016329931618554533,2.784099535974463
315198039.0,3.896914,3.92,0.014142135623730961,0.0758,0.06,6.938893903907228e-18,6.92,6.94,0.014142135623730899,0.0,0.02,0.0047140452079103175,483.6710423329554
315211361.0,1.900078,1.88,0.017078251276599347,0.1383,0.12,2.7755575615628914e-17,6.34,6.32,0.014142135623730899,0.44,0.46,1.6653345369377348e-16,102.77177309582748
315239728.0,9.243751,9.26,0.014142135623730649,0.0801,0.06,6.938893903907228e-18,35.22,35.25,0.017078251276598705,0.0,0.02,0.004714045207910317,208.5980563127618
652180991.0,5.208129,5.23,0.0141421356237309,0.0585,0.05,1.3877787807814457e-17,5.65,5.66,0.014142135623731027,0.67,0.7,0.0170782512765993,3.43176293859446
