,CoRoT-ID,Run,Epoch,Period,depth,dur,Rp/R?,a/R?,b,rho?,r-mag,Spectral,Flags,Nature,FU
1,100468104.0,LRc01,2454236.053457± 0.000868,1.043600±0.00001,0.460± 0.009,2.004± 0.040,0.0751± 0.002,2.45± 0.08,0.91± 0.01,0.18± 0.02,15.27,G2,10010.0,PEB,no
2,100567226.0,LRc01,2454236.650441± 0.002378,7.711616±0.00023,0.822± 0.042,2.221± 0.110,0.1003± 0.006,14.82± 1.23,0.90± 0.03,0.73± 0.18,14.35,K5,0.0,SB,yes
3,100589010.0,LRc01,2454236.335234± 0.004144,0.780472±0.00004,0.167± 0.009,3.859± 0.173,0.5404± 0.000,1.60± 0.00,1.50± 0.00,0.09± 0.00,15.81,K3,10011.0,CEB,yes
4,100609705.0,LRc01,2454236.251308± 0.015360,3.303820±0.00061,0.112± 0.012,6.978± 0.664,0.3625± 78.144,1.71± 65.18,1.33± 79.88,0.01± 0.70,13.69,G2,1.0,CEB,yes
5,100654833.0,LRc01,2454236.278830± 0.003079,0.531066±0.00002,0.129± 0.008,2.473± 0.137,0.2790± 128.372,1.36±119.91,1.24±133.03,0.12± 31.54,13.56,K0,1001.0,SB,yes
6,100725706.0,LRc01,2454233.624803± 0.000982,13.240160±0.00016,1.514± 0.023,2.542± 0.042,0.1483± 0.023,22.36± 1.10,0.92± 0.05,0.85± 0.13,14.76,G2,1.0,P,yes
7,100768215.0,LRc01,2454234.903972± 0.006775,2.940266±0.00024,0.332± 0.013,8.609± 0.303,0.2978± 24.927,1.64± 19.46,1.23± 26.40,0.01± 0.24,15.42,F5,11001.0,unr,yes
8,100773735.0,LRc01,2454234.735644± 0.000607,4.973831±0.00004,0.992± 0.005,5.252± 0.028,0.0950± 0.001,6.45± 0.17,0.61± 0.03,0.15± 0.01,15.85,F5,10010.0,SB,yes
9,100834293.0,LRc01,2454230.666796± 0.001538,11.301173±0.00019,1.607± 0.051,2.387± 0.067,0.1447± 0.027,24.19± 2.01,0.89± 0.06,1.48± 0.37,15.49,K4,1.0,PEB,yes
10,100905839.0,LRc01,2454221.357894± 0.002770,15.741157±0.00046,1.472± 0.038,3.778± 0.116,0.1299± 0.004,19.24± 0.91,0.86± 0.02,0.38± 0.05,15.42,F5,0.0,unr,yes
11,100980128.0,LRc01,2454232.869230± 0.004602,6.001884±0.00030,0.082± 0.006,3.169± 0.210,0.2545± 139.191,4.05± 3.14,1.22±143.55,0.02± 0.06,14.66,K5,101.0,CEB,yes
12,100982006.0,LRc01,2454220.305756± 0.002675,16.674931±0.00042,0.408± 0.011,4.002± 0.108,0.5690± 0.000,12.76± 0.00,1.50± 0.00,0.10± 0.00,16.03,A0,111.0,SB,yes
13,101026464.0,LRc01,2454235.485009± 0.001721,1.321907±0.00003,0.598± 0.026,1.904± 0.076,0.3692± 94.674,2.85± 59.59,1.27±100.55,0.18± 11.14,15.44,G0,10001.0,PEB,yes
14,101031117.0,LRc01,2454205.892551± 0.002615,53.794205±0.00123,0.810± 0.013,5.164± 0.091,0.0961± 0.002,50.26± 2.01,0.86± 0.01,0.59± 0.07,15.9,G2,100.0,SB,yes
15,101055792.0,LRc01,2454235.732251± 0.002908,1.938394±0.00007,0.127± 0.009,1.768± 0.122,0.0399± 0.003,4.08± 0.91,0.92± 0.04,0.24± 0.16,15.63,G0,0.0,CEB,yes
16,101086161.0,LRc01,2454232.820704± 0.000735,6.212380±0.00006,0.742± 0.009,2.684± 0.036,0.0892± 0.001,11.93± 0.44,0.82± 0.02,0.59± 0.07,14.49,A5,0.0,P,yes
17,101095286.0,LRc01,2454231.140619± 0.001680,10.105790±0.00018,0.436± 0.005,6.791± 0.071,0.3616± 19.729,4.98± 10.95,1.28± 20.76,0.02± 0.11,15.53,F8,10001.0,CEB,yes
18,101106246.0,LRc01,2454230.080584± 0.004697,11.324195±0.00058,0.543± 0.021,5.436± 0.213,0.3287± 27.443,7.27± 9.64,1.24± 29.38,0.04± 0.16,14.76,K2,1.0,CEB,yes
19,101115531.0,LRc01,2454236.513689± 0.000708,0.520945±0.00000,0.237± 0.005,1.800± 0.032,0.3120± 35.261,1.50± 30.89,1.25± 36.89,0.17± 10.30,13.5,A0,101.0,unr,yes
20,101123916.0,LRc01,2454236.493089± 0.003387,1.138595±0.00005,0.349± 0.013,4.755± 0.152,0.3365± 78.650,1.50± 71.09,1.27± 82.63,0.03± 4.93,15.32,K2,1001.0,unr,yes
21,101175376.0,LRc01,2454233.769489± 0.005467,5.278815±0.00031,0.793± 0.014,15.203± 0.237,0.3752± 37.259,1.89± 29.50,1.26± 39.97,0.00± 0.15,15.34,A5,11001.0,CEB,yes
22,101186644.0,LRc01,2454199.661244± 0.010585,40.663250±0.00380,0.460± 0.031,6.246± 0.338,0.0612± 0.002,49.68± 1.74,0.00± 2.78,0.99± 0.10,15.91,G2,0.0,CEB,yes
23,101206560.0,LRc01,2454235.792435± 0.000175,1.742992±0.00000,3.236± 0.006,2.259± 0.039,0.1626± 0.001,6.76± 0.24,0.02± 1.39,1.36± 0.14,14.95,K5,0.0,P,yes
24,101206989.0,LRc01,2454236.202786± 0.002918,0.577831±0.00002,0.048± 0.005,1.220± 0.122,0.0271± 0.002,1.61± 0.24,0.96± 0.02,0.17± 0.07,13.35,G5,11000.0,unr,yes
25,101218359.0,LRc01,2454236.453673± 0.001821,1.154835±0.00002,0.165± 0.008,1.885± 0.079,0.4077± 30.492,2.06± 24.00,1.36± 31.21,0.09± 3.06,15.22,F5,10001.0,PEB,no
26,101259269.0,LRc01,2454236.540337± 0.009925,4.429458±0.00049,0.387± 0.013,14.245± 0.419,0.3572± 54.821,1.64± 47.11,1.28± 57.61,0.00± 0.26,13.5,A5,10001.0,PEB,no
27,101332685.0,LRc01,2454225.683591± 0.005109,13.101103±0.00076,0.495± 0.024,4.402± 0.218,0.3563± 111.147,9.67± 74.42,1.27±117.59,0.07± 1.63,14.14,F5,10001.0,CEB,yes
28,101351899.0,LRc01,2454217.077826± 0.002647,21.970001±0.00059,1.594± 0.039,5.062± 0.107,0.1355± 0.005,23.82± 0.93,0.86± 0.02,0.37± 0.04,14.61,G2,10100.0,SB,yes
29,101368192.0,LRc01,2454236.316716± 0.000513,4.256670±0.00002,0.505± 0.003,3.678± 0.022,0.0661± 0.001,8.23± 0.43,0.48± 0.09,0.41± 0.06,13.63,A5,0.0,P,yes
30,101424939.0,LRc01,2454235.599705± 0.002355,2.176965±0.00006,0.193± 0.009,2.403± 0.108,0.3176± 89.158,2.66± 46.49,1.27± 92.58,0.05± 2.79,15.36,K1,10101.0,PEB,no
31,101434308.0,LRc01,2454200.676696± 0.004950,79.967743±0.00297,1.448± 0.015,10.748± 0.132,0.1140± 0.002,50.84± 2.95,0.55± 0.08,0.27± 0.05,15.79,K0,10000.0,PEB,yes
32,101436549.0,LRc01,2454236.548922± 0.001160,0.734881±0.00001,0.410± 0.012,2.152± 0.055,0.3521± 62.724,1.73± 51.35,1.27± 66.02,0.13± 11.36,14.05,K3,10001.0,CEB,yes
33,101439653.0,LRc01,2454228.646801± 0.000469,17.497412±0.00009,4.825± 0.041,3.024± 0.026,0.2333± 0.007,36.77± 0.54,0.80± 0.02,2.17± 0.10,15.64,G8,1.0,PEB,no
34,101482707.0,LRc01,2454220.386021± 0.000917,39.889950±0.00033,1.712± 0.013,6.127± 0.046,0.3972± 7.009,31.06± 19.96,1.22± 7.79,0.25± 0.49,13.93,K3,1.0,SB,yes
35,101614469.0,LRc01,2454235.188527± 0.010845,6.865639±0.00083,0.220± 0.010,11.534± 0.447,0.5478± 0.000,2.26± 0.00,1.50± 0.00,0.00± 0.00,15.76,G0,10011.0,CEB,yes
36,101653417.0,LRc01,2454233.259854± 0.002575,5.782229±0.00017,0.245± 0.012,2.775± 0.114,0.3355± 76.063,5.79± 31.87,1.28± 79.22,0.08± 1.28,14.81,F8,10001.0,CEB,yes
37,101675703.0,LRc01,2454236.207777± 0.002648,1.793128±0.00005,0.359± 0.013,3.012± 0.116,0.0644± 0.003,2.80± 0.29,0.87± 0.03,0.09± 0.03,13.91,F8,0.0,CEB,yes
38,101708400.0,LRc01,2454232.770660± 0.001721,4.221396±0.00008,1.298± 0.012,8.308± 0.076,0.1136± 0.001,3.24± 0.09,0.75± 0.02,0.03± 0.00,12.78,A5,10010.0,SB,yes
39,102282722.0,LRa03,2455105.449152± 0.000843,3.551001±0.00003,2.060± 0.035,2.557± 0.040,0.1698± 0.027,7.49± 0.37,0.90± 0.06,0.45± 0.07,14.27,G5,10001.0,unr,no
40,102294953.0,LRa03,2455108.210538± 0.004060,0.915302±0.00004,0.071± 0.007,2.021± 0.192,0.2477± 191.372,1.52±147.72,1.22±197.05,0.06± 16.26,15.52,G8,101.0,CEB,yes
41,102296945.0,LRa03,2455104.553952± 0.001298,3.874284±0.00006,0.116± 0.003,2.232± 0.062,0.0316± 0.003,11.57± 4.66,0.55± 0.52,1.38± 1.67,14.91,F8,0.0,unr,yes
42,102304094.0,LRa03,2455102.709660± 0.003074,6.191418±0.00021,0.738± 0.041,2.675± 0.135,0.3888± 83.543,8.81± 74.09,1.28± 89.01,0.24± 6.02,15.07,K3,1.0,SB,yes
43,102312073.0,LRa03,2455101.288171± 0.003727,36.260544±0.00132,2.756± 0.112,3.481± 0.145,0.1762± 0.017,58.26± 4.40,0.83± 0.05,2.01± 0.46,15.25,G5,1.0,WCCF,yes
44,102327039.0,LRa03,2455103.797122± 0.000378,7.926828±0.00003,1.081± 0.003,7.610± 0.019,0.0951± 0.000,8.19± 0.13,0.33± 0.04,0.12± 0.01,15.68,G8,10010.0,SB,yes
45,102347809.0,LRa03,2455075.557353± 0.004282,35.231670±0.00128,1.366± 0.033,6.088± 0.171,0.1182± 0.003,30.77± 1.93,0.82± 0.03,0.31± 0.06,15.5,G2,0.0,CEB,yes
